"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","353","TC01 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","30124","TC01 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","593","TC02 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","733","TC01 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","26631","TC01 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","642","TC03 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","699","TC01 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","20170","TC01 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","274","TC02 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","632","TC02 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","547","TC03 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","268","TC03 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
