"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","354","TC01 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","599","TC01 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","25111","TC01 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","527","TC03 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1320","TC01 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","15591","TC01 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","1581","TC02 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","318","TC03 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","339","TC02 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","576","TC02 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","23806","TC01 Gecerli kullanici girisi","firefox","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","1326","TC03 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
