"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","TC03 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","253","TC02 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","267","TC03 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","272","TC01 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","460","TC03 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","497","TC02 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","30023","TC01 Gecerli kullanici girisi","firefox","2026-09-22","broken","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","499","TC01 Gecerli kullanici girisi","webkit","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1266","TC02 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","15636","TC01 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","1250","TC01 Gecerli kullanici girisi","firefox","2026-09-22","failed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","23275","TC01 Gecerli kullanici girisi","chromium","2026-09-22","failed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
