"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","599","TC02 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","6708","TC01 Gecerli kullanici girisi","firefox","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","6070","TC01 Gecerli kullanici girisi","chromium","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","776","TC03 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","806","TC02 Gecerli kullanici girisi","firefox","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","739","TC01 Gecerli kullanici girisi","firefox","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","753","TC03 Gecerli kullanici girisi","firefox","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","725","TC01 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","11917","TC01 Gecerli kullanici girisi","webkit","2026-09-22","passed","2026-09-22","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","308","TC03 Gecerli kullanici girisi","chromium","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","346","TC02 Gecerli kullanici girisi","chromium","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","488","TC01 Gecerli kullanici girisi","chromium","2026-09-22","passed","2026-09-22","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
