"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","TC01 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","30021","TC01 Gecerli kullanici girisi","webkit","2026-09-24","broken","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","531","TC03 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1542","TC01 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","638","TC02 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","34439","TC01 Gecerli kullanici girisi","chromium","2026-09-24","failed","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","479","TC01 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","259","TC02 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","30052","TC01 Gecerli kullanici girisi","firefox","2026-09-24","broken","2026-09-24","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","268","TC03 Gecerli kullanici girisi","chromium","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","591","TC03 Gecerli kullanici girisi","firefox","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","534","TC02 Gecerli kullanici girisi","webkit","2026-09-24","passed","2026-09-24","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
