"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12061","TC01 Gecerli kullanici girisi","firefox","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","1540","TC01 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","326","TC02 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","18109","TC01 Gecerli kullanici girisi","webkit","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","2036","TC03 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","310","TC01 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","8940","TC01 Gecerli kullanici girisi","chromium","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","442","TC02 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","2071","TC02 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","505","TC01 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","311","TC03 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","506","TC03 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
