"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","TC01 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1268","TC02 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","5818","TC01 Gecerli kullanici girisi","webkit","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","278","TC02 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","3501","TC01 Gecerli kullanici girisi","chromium","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","269","TC03 Gecerli kullanici girisi","chromium","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","4629","TC01 Gecerli kullanici girisi","firefox","2026-09-23","passed","2026-09-23","US002 Open Source Login","e2e/features/orange-hrm-login.feature.spec.js","",""
"","464","TC02 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","471","TC01 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1291","TC01 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","1243","TC03 Gecerli kullanici girisi","firefox","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
"","480","TC03 Gecerli kullanici girisi","webkit","2026-09-23","failed","2026-09-23","US001 Sauce Demo Login Test","e2e/features/saucelogin.feature.spec.js","",""
